topic,rank,review_excerpt
16,3,"o cartucho não funciona na minha impressora hp, o chip do cartucho não é do mesmo tamanho dos cartuchos que servem para essa impressora, não e´compativel com hp 4280 , não é cartucho h 60 xl"
17,1,Produto não entregue.
17,2,O produto não foi entregue
17,3,Esse produto não foi entregue
18,1,nao recebi o produto
18,2,Nao recebi o produto!
18,3,Nao recebi o produto
19,1,"Já passou do prazo previsto e nada ainda, o relógio é para presente e a data até passou, se demorarem mais, quero reembolso"
19,2,Dentro do prazo previsto. | Dentro do prazo previsto.
19,3,"n sei oq esta acontecendo, se a culpa é dos correios ou n ja passou do prazo de entrega e nd ainda ja esta a 11 dias parado so em um lugar ate a data de hj 26/03/2018 n sei oq fazer | n sei oq esta acontecendo, se a culpa é dos correios ou n ja passou do prazo de entrega e nd ainda ja esta a 11 dias"
20,1,nao ecebi prodoutos
20,2,Veio faltando peça
20,3,faltando peça!
21,1,"So nao gostamos do tamanho,mas reconhecemos o nosso erro em nao reparar o tamanho na descricao do produto."
21,2,Achei o tamanho muito pequeno
21,3,Comprei a camisa tamanho 6 e foi enviado no tamanho 7
22,1,otimo
22,2,otimo | otimo
22,3,Otimo
23,1,estou aguardando o recebimento do produto | estou aguardando o recebimento do produto
23,2,Esta faltando um produto .Estou aguardando..... | Esta faltando um produto .Estou aguardando..... | Esta faltando um produto .Estou aguardando.....
23,3,Estou aguardando a entrega do produto. | Estou aguardando a entrega do produto. | Estou aguardando a entrega do produto. | Estou no aguardo da entrega dos produtos. | Estou aguardando a entrega do produto.
24,1,Demorando demais para entregar....
24,2,Esta demorando muito para entrega | Esta demorando muito para entrega
24,3,Deveria ser entregue mais rápido está demorando muito
25,1,Já faz mais de 30 dias que o produto foi comprado e ainda não o recebi.
25,2,"Estou em processo de devolução. Esperei mais de dois meses para receber uma mochila da Kipling. O modelo não é o que eu comprei, não é original é falso e não foi targaryen que me vendeu foi Gaste Pouco | Estou em processo de devolução. Esperei mais de dois meses para receber uma mochila da Kipling. "
25,3,Comprei há quase 2 meses e até o momento não recebi o produto. | Comprei há quase 2 meses e até o momento não recebi o produto.
26,1,Quero meu dinheiro de volta
26,2,Eu quero meu dinheiro de volta
26,3,quero meu dinheiro de volta
27,1,O produto ainda não foi entregue.
27,2,o produto ainda não foi entregue
27,3,O produto ainda não foi entregue. | O produto ainda não foi entregue.
28,1,ainda não recebi
28,2,Eu comprei 3 unidades do pendente de só veio 1 até agora e ainda não obtive nenhuma resposta até o momento não posso efetuar nenhuma avaliação | Eu comprei 3 unidades do pendente de só veio 1 até agora e ainda não obtive nenhuma resposta até o momento não posso efetuar nenhuma avaliação | Eu comprei
28,3,Ainda não recebi | Ainda não recebi
29,1,"Foi encaminhado ontem um E-mail informando que a mercadoria veio faltando, ate o momento não recebi nenhuma ligação e nem um contato que posso entrar. | Foi encaminhado ontem um E-mail informando que a mercadoria veio faltando, ate o momento não recebi nenhuma ligação e nem um contato que posso entr"
29,2,Difícil de resolver um problema na entrega. Comprei 3 itens e foi entregue somente 1 e não tenho com quem falar. Só posso passar email e aguardar resposta. | Difícil de resolver um problema na entrega. Comprei 3 itens e foi entregue somente 1 e não tenho com quem falar. Só posso passar email e aguar
29,3,"Me informaram que ocorreu um problema na entrega, e até agora não entraram em contato comigo para esclarecer o que houve. Até agora não recebi o produto. | Me informaram que ocorreu um problema na entrega, e até agora não entraram em contato comigo para esclarecer o que houve. Até agora não recebi o"
30,1,"Parabéns entrega antes da data prevista, um produto bom e barato som do produto muito bom corrir com ele não me incomodo não ficou caindo ou folgando no meu ouvido olha que corrir 8 km recomendo."
30,2,Produto bom e entrega antes do prazo.
30,3,"a entrega foi feita no prazo, a qualidade do produto é regular, mas se for comparada ao preço está bom e fica bonito. Quanto a loja tudo ok. | a entrega foi feita no prazo, a qualidade do produto é regular, mas se for comparada ao preço está bom e fica bonito. Quanto a loja tudo ok. | a entrega foi "
31,1,"Simplesmente assim, uma taca veio quebrada, tentei ver a substituição e o produto náo está mais disponível e pronto. Nao quero ficar sem 5 tacas, so quero receber uma pela quebrada. | Simplesmente assim, uma taca veio quebrada, tentei ver a substituição e o produto náo está mais disponível e pronto."
31,2,Quero a troca
31,3,Quero troca meu produto.
32,1,Gostaria de saber quando vou receber meu relogio
32,2,Gostaria de saber se vou ou não receber. Se sim qual o prazo?
32,3,Gostaria de saber quando vou receber?
33,1,", muito ruim !"
33,2,Muito ruim
33,3,Muito ruim | Muito ruim | Muito ruim | Muito ruim
34,1,Só não gostei do emtregado
34,2,Não gostei muito Rui
34,3,"Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das"
35,1,"Recebi o produto errado,pedi gotas e veio comprimido"
35,2,Recebi o produto errado
35,3,Recebi o produto errado!
36,1,"O produto chegou, no entanto não cobriu a tela toda como descrito e não é de gel, é película de vidro comum"
36,2,"Dos 3 itens que comprei, recebi apenas 1item. Foi rápida a entrega, que foi a película de vidro. Porém não atingiu as expectativas pois não cobriu toda a tela, e parece ser frágil. | Dos 3 itens que comprei, recebi apenas 1item. Foi rápida a entrega, que foi a película de vidro. Porém não atingiu as"
36,3,"minha película de vidro chegou toda trincada! preciso de uma inteira,"
37,1,Bom produto
37,2,Bom produto.
37,3,bom produto
38,1,"Comprei a cadeira com a previsão de entrega de 2 semanas, já fazem mas de 30 dias e nada da cadeira. Comprei a mesma cadeira em outro site para uma amiga, ela recebeu com 20 dias e eu a minha nada"
38,2,comprei a cadeira em corino e veio em tecido!
38,3,Minha cadeira veio com a roda qurbrada
39,1,ainda não recebi a encomenda até agora!
39,2,"Meu pedido era para ser entregue até dia 22/03/18, até a presente data (24/03) a nota fiscal não foi emitida, solicitei várias vezes não obtive retorno, não recomendo esta Loja, nem a lannister!!!!!!"
39,3,"Até o momento não recebi o pedido, também não recebi informações do atraso de entrega do pedido."
40,1,O produto demorou muito p chegar.
40,2,Produto demorou muito para chegar
40,3,"Mesmo recomendando, o produto demorou muito a chegar."
41,1,"O produto não corresponde ao que eu comprei, a película é muito menor que a tela do celular e não cobre toda a tela."
41,2,Película menor do que a tela do celular
41,3,Película muito ruim celular Mem funcionou a tela com ela
42,1,Comprei dois produtos e recebi apenas 1 deles. Tentei entrar em contato com a loja e não obtive sucesso. Tentei entrar em contato com a lannister por telefone e email e também não consegui. | Comprei dois produtos e recebi apenas 1 deles. Tentei entrar em contato com a loja e não obtive sucesso. Ten
42,2,"Estou muito insatisfeito com essa loja targaryen, já paguei o pelo produto e o mesmo não foi entregue no prazo, quero que entregue meu produto com urgência!!! Espero que a targaryen e stark resolvam isso. | Estou muito insatisfeito com essa loja targaryen, já paguei o pelo produto e o mesmo não foi "
42,3,Nunca + targaryen e stark Descaso total Essa é a 3ª reclamação q faço Como comprei com o parceiro qdo ligo na stark n consigo falar com nenhum atendente e n existe retorno da targaryen ou seja... | Nunca + targaryen e stark Descaso total Essa é a 3ª reclamação q faço Como comprei com o parceiro qdo 
43,1,O produto nao chegou e eu ja até paguei parte do produto. A nota fiscal nem foi emitida e a previsão de chegada expirou. Quero estorno do valor pago. Um absurdo
43,2,Até a presente data não recebi o produto. Gostaria de saber como devo proceder.... solicito estorno do valor pago!?
43,3,"Não recebi o produto, solicitei devolucao do valor pago no meu cartão de crédito e não obtive be nenhum retorno"
44,1,produto diferente do anunciado
44,2,Produto diferente do que foi anunciado.
44,3,"Produto totalmente diferente do anunciado ,péssima qualidade"
45,1,Não acredito q comprei um presente de Natal em novembro e aminha esposa vai ficar sem o presente de natal por incompetência da logística de vocês Depois q passaram a vender assim por parceiros
45,2,"Estou indignada. É o presente de natal do eu filho ,comprei com antecedência e não chegou."
45,3,"O que era para ser o presente de natal, chegou depois de reis."
46,1,quero meu produto
46,2,quero o meu produto
46,3,Quero o meu produto
47,1,"Adquiri um kit Rivera 5 peças não recebi o cobre leito,veio um lençol muito fino que não é um cobre leito. gostaria que fosse trocado pelo produto que adquiri no site."
47,2,Não lembra em nada um cobre leito. É na verdade um lençol com tecido mais grosso e áspero. Já solicitei devolução | Não lembra em nada um cobre leito. É na verdade um lençol com tecido mais grosso e áspero. Já solicitei devolução
47,3,"achei que fosse um pouco mais grosso, pois mais parece um lençol do que um cobre leito"
48,1,Não está funcionando o produto
48,2,O produto não veio funcionando
48,3,meu produto veio com defeito não esta funcionando
49,1,"São toalhas mais finas, porém já esperava por isso, e pra visitas inesperadas são ótimas."
49,2,"As toalhas muito ruins , finas | As toalhas muito ruins , finas"
49,3,As toalhas não são felpudas!!!!
50,1,"Ainda não recebi o produto, já passou do prazo e ninguém entra em contato pra dizer o que houve."
50,2,"até hoje não recebi o produto,já passou do prazo de entrega e nada ainda"
50,3,Ainda não recebi o produto é já se passou o prazo solicitado.
51,1,"Comprei dois protetores de um modelo em uma mesma compra. Recebi modelos diferentes e em dias diferente e,diferente do modelo mostrado no site e ainda com nota fiscal de outro produto. Além do atraso | Comprei dois protetores de um modelo em uma mesma compra. Recebi modelos diferentes e em dias dife"
51,2,Comprei um produto e recebi outro
51,3,comprei um produto e recebi outro | comprei um produto e recebi outro
52,1,O PRODUTO CHEGOU TODO AMASSADO. TÃO AMASSADO QUE VINCOU O ADESIVO E IMPOSSIBILITOU O USO DO PRODUTO. PÉSSIMO.
52,2,"O MATERIAL DO PRODUTO É BOM, MAS DEIXA A DESEJAR NO IMÃ QUE FECHA A CARTEIRA. É COM POUCA PRESSÃO, E COM UMA SEMANA DE USO, JÁ NÃO FECHA MAIS COMO DEVERIA. E FICA SOLTANDO LINHA DA COSTURA. MEDIANO"
52,3,"Falta de respeito e interesse do fornecedor. Como pode um produto ser emitido nota fiscal rapidinho, despachado para entrega, diz que chegou a unidade de São Gonçalo e depois diz que não chegou nada. | Falta de respeito e interesse do fornecedor. Como pode um produto ser emitido nota fiscal rapidinh"
53,1,"Eu recebi a cortina mais não veio o varão que estava dizendo na propaganda que viria,A cortina é linda."
53,2,A cortina não é o modelo que pedi. |
53,3,A cortina perderia se mais alta
54,1,"Eu até o momento não recebi o meu produto, e o status da compra esta como produto entregue e agora quero saber como proceder."
54,2,Eu quero saber onde está meu produto que Ainda não recebi !!!! Esta demorando horrores !!
54,3,Não chegou o meu produto. Quero saber o que aconteceu?
55,1,"O perfume que recebi tem embalagem diferente da foto do site e também diferente de um perfume igual que tenho em casa. O cheiro é bem parecido, mas não igual. Enfim, parece falsificado."
55,2,o perfume não tem nenhuma fixação não parece ORIGINAL. Uso este perfume faz muitos anos e vi que não é normal só cheira a álcool.
55,3,"Fiquei muito descontente, comprei o perfume masculino de presente e mandei entregar para a pessoa. Mas para a minha infelicidade, chegou o perfume feminino!!!!!!"
56,1,Recebi produto totalmente diferente do comprado. Quero trocá-lo pelo certo. Como fazer?
56,2,"Produto entregue errado, comprei um produto recebi outro totalmente diferente."
56,3,Recebi produto de outro cliente totalmente diferente do que comprei...trocaram meu pedido....
57,1,"Sempre comprei no site. É a primeira vez que fui passado para trás. Não recebi um produto Epson, conforme a descrição do produto. Recebi um produto que não é original, uma imitação chinesa. Absurdo... | Sempre comprei no site. É a primeira vez que fui passado para trás. Não recebi um produto Epson, "
57,2,"O produto é bom, porem é vendido como se fosse da Sony (original) mas na verdade não é original e sim uma réplica. | O produto é bom, porem é vendido como se fosse da Sony (original) mas na verdade não é original e sim uma réplica."
57,3,"Me senti lesada , o produto vendido é réplica e das piores. Estou aguardando para mandar produto de volta. | Loja vendê produto como original e é réplica. E das piores."
58,1,Câmera com defeito estou tentando entrar em contato para troca ou devolução não consigo .
58,2,"Recebi o produto errado e a central de atendimento é muito ruim, não consigo entrar em contato, respondem email quando querem e não resolvem meu problema!"
58,3,"Infelizmente estou tentando, entrar em contato com a central de atendimento e não consigo. Não recebi o meu produto e também não tive nenhum retorno do status."
59,1,Comprei um produto de 180 reais e recebi um completamente de 50 reais. Um absurdo
59,2,bem comprei um produto que custava 261.00 reais o melhor que eles tinham com o cartao de 32g . e me mandarão o pior que eles tinha era de 140.00 reais que vinha com cartão de 16g resumindo safados.!!!
59,3,"Comprei um produto de 280,00 reais e chegou um produto diferente de 30,00 reais !"
60,1,o produto é bom especificado no sait otimo só nao recomendo porque no sait falava que entregaria em 15 dias levou 30 dias para chegar afff a boneca é bonita amei otimo tecido nota geral 10 do produto.
60,2,"Bom produto com um bom preço, mas demorou pra postar a mercadoria nos correios (+10 dias), vencendo assim o prazo de entregra, que era para o dia 21/12. Deve levar mais mais 7 dias pra chegar ainda... | Bom produto com um bom preço, mas demorou pra postar a mercadoria nos correios (+10 dias), vencen"
60,3,Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível | Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para faze
61,1,Um demora pra entrega | Um demora pra entrega
61,2,demora com a entrega | demora com a entrega
61,3,Demora na entrega | Demora na entrega | Demora na entrega
62,1,nao sei nao recebi
62,2,Nao recebi
62,3,Nao recebi... e nem recebi justificatica porqie tá demorando
63,1,"Até agora, não consegui entrar em contacto para resolver meu problema, e o telefone de sac só com secretária eletrônica e que não dispõe de mecanismos que levem a falar diretamente com um atendente"
63,2,pedido veio incompleto e não me atenderam nem por telefone e nem por email. | pedido veio incompleto e não me atenderam nem por telefone e nem por email.
63,3,"Não um telefone onde podemos falar sobre o deu errado, e por email não obtive resposta | Não um telefone onde podemos falar sobre o deu errado, e por email não obtive resposta"
64,1,"O produto poderia ser melhor .Os encaixe não afirma, poderia ser melhor pintado. A entrega veio antes."
64,2,esperava uma qualidade melhor do produto
64,3,Achei que a qualidade fosse melhor.
65,1,Eu compro sempre nesta loja e gosto
65,2,"Entrega rápida, por isso q gosto de comprar por o site."
65,3,Gosto de comprar sempre aí....vez em quando os preços são salgados .kkk
66,1,Comprei uma colcha e veio um lençol com elástico - propaganda enganosa!
66,2,estou tentando devolver nao é cetim propaganda enganosa duro e aspero
66,3,"Propaganda enganosa, comprei porque na descrição estava claro que ela flutuava, porém ela não FLUTUA. A faca afunda. PÉSSIMA, PROPAGANDA ENGANOSA | Propaganda enganosa, comprei porque na descrição estava claro que ela flutuava, porém ela não FLUTUA. A faca afunda. PÉSSIMA, PROPAGANDA ENGANOSA"
67,1,"Comprei dois pendentes e até agora não chegou, já passou dos 12 dias de prazo e nada, segundo o que informaram é que o correios irá entregar no prazo de 5 dias.. já se passaram 3 dias e nada ate ago | Comprei dois pendentes e até agora não chegou, já passou dos 12 dias de prazo e nada, segundo o que"
67,2,Se passaram 2 dias da data da entrega e ainda não recebi a encomenda | Se passaram 2 dias da data da entrega e ainda não recebi a encomenda | Se passaram 2 dias da data da entrega e ainda não recebi a encomenda
67,3,Já se passaram quase um mês e nada preciso da ajuda de vcs | Já se passaram quase um mês e nada preciso da ajuda de vcs
68,1,"Solicitei a troca do produto, e ainda não tive resposta."
68,2,O produto veio com defeito...já solicitei a troca mas não tive retorno..
68,3,O produto veio errado e ainda não me retornaram para fazer a troca.
69,1,"Ainda não recebi o meu pedido, estava programado para o dia 13/12 e até agora nada, hoje já é dia 17/12"
69,2,"Atraso na entrega, ainda não recebi e não sou informado o por que do atraso.. Se não receber logo vou cancelar o pedido"
69,3,Meu pedido foi depositado dia 27/11 e já é dia 28/11 e não o recebi. Nem mesmo uma explicação pela demora na entrega. Ainda estou aguardando.
70,1,Prazo excelente !!
70,2,Super boa
70,3,Estou super satisfeita....super recomendo
71,1,"Boa mochila mas achei só um pouco pequena, mas muito bonita."
71,2,O material da mochila é bem fraco.
71,3,"Mochila aparentemente fraca,parece ser uma mochila comum e não de rodinhas. Não gostei da qualidade da mochila,esperava mais."
72,1,Falta de respeito com o cliente
72,2,"falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;; | falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenh"
72,3,Falta de respeito com cliente
73,1,"veio produto diferente da foto , modelo diferente"
73,2,Produto diferente da foto.
73,3,"foto uma, produto outro tesoura sim modelo diferente....da foto da compra"
74,1,Não recebi | Não recebi
74,2,Sempre recebo e desta vez não recebi | Sempre recebo e desta vez não recebi | Sempre recebo e desta vez não recebi
74,3,Péssimo não me deram nenhuma informação nem código e pior não me entregaram | Péssimo não me deram nenhuma informação nem código e pior não me entregaram | Péssimo não me deram nenhuma informação nem código e pior não me entregaram
75,1,Ainda não veio meu produto. Espero que semana que vem venha com segurança.
75,2,"Espero que chegue o produto estou aguardando , ainda não chegou."
75,3,"Meu pedido não chegou, e eu preciso desse produto até semana que vem | Meu pedido não chegou, e eu preciso desse produto até semana que vem"
76,1,Não gostei e não recomendo. O som é baixo e logo de início já não funcionou um dos lados do fone. Horrível
76,2,"OBS: como voces dividiram, fracionaram o pedido dos controles remotos em ENTREGA 01 e 02 e 03, realmente está faltando entrega (falta um controle remoto da Sony e um controle remoto da LG) | OBS: como voces dividiram, fracionaram o pedido dos controles remotos em ENTREGA 01 e 02 e 03, realmente está"
76,3,"Fone de ouvido aparenta ter controles de volume e avanco/retrocesso de faixa, mas não funcionam. Como comprei 2 fones sei que não é defeito mas produto feito para enganar. Som baixo | Fone de ouvido aparenta ter controles de volume e avanco/retrocesso de faixa, mas não funcionam. Como comprei 2 fone"
77,1,Ainda não recebi meu produto. Ficou de entregar no dia 20/03/18. Até agora nada.
77,2,Não recebi o produto até dia 12 de Abril de 2018
77,3,"Efetuei a compra em 02/02/18 e até hoje não recebi o produto. Quando tento rastrear a entrega, verifico que o status não muda há mais de 20 dias."
78,1,"Meu produto nao foi entregue , produto se quer chegou na minha residencia !"
78,2,Meu produto nao foi entregue
78,3,Meu produto nao foi entregue.
79,1,Infelizmente ainda não recebi a mercadoria
79,2,Não sei por que ainda não recebi minha mercadoria...
79,3,não recebi a mercadoria ainda.
80,1,"Os preços são bons e os produtos de qualidade.O problema não é a loja, mas o serviço de entrega utilizado por eles é o pior do país. Os Correios nunca entregam no prazo."
80,2,"Eles anunciam um produto, entregam outro. Não compro mais nesse loja e o pior é que esta difícil comprar no stark, tamanha a quantidade de lojistas ruins como esse."
80,3,Pessima loja. Vendem recebem e não entregam.
81,1,Ok
81,2,ok
81,3,OK
82,1,Não recebi meu produto. Não posso avaliar. | Não recebi meu produto. Não posso avaliar.
82,2,"Não posso avaliar, não recebi o produto"
82,3,Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem cons
83,1,"Já comprei tem quase dois meses,ainda não chegou.. falta de respeito com o cliente.. Mas não vou julgar..quem sou eu Precisa melhorar a comunicação.. E ainda aguardo meu pedido"
83,2,"(tenso) tinhas mais de 10 lojas pra min escolher qual comprar, o pitei pela lannister por ser uma loja conhecida a entrega estava para dia 22/01/2018 . hoje já é 24/01/2018 pois comprei dia 06/01/18"
83,3,"Primeira e Última vez que compro com essa loja, comprei uma mesa cavalete no dia 02/08/2018 , hoje estamos no dia 24/08/2018 e minha mesa ainda não foi entregue , não consigo contato com a loja"
84,1,O produto não é entregue no prazo.
84,2,O produto não foi entregue no prazo estipulado pelo vendedor.
84,3,O produto chegou antes do prazo estipulado mas não veio conforme anuncio e não funcionou.
85,1,produto chegou pela metade | produto chegou pela metade | produto chegou pela metade | produto chegou pela metade
85,2,Veio metade | Veio metade
85,3,recebi metade do produto . | recebi metade do produto .
86,1,Produto diferente da foto. Produto sem fecho e por isso não serve.
86,2,Produto de péssima qualidade Não tem nada a ver com a descrição nem a foto!
86,3,Infelizmente não! A qualidade do produto não agradou.Impressão da foto em exposição remete a um tamanho maior e a recebida sequer atende a uma criança. PRODUTO NÃO JUSTIFICA O VALOR INFELIZMENTE!
87,1,"Produto chegou um pouco após a entrega, mas estou satisfeito. Acredito que a greve dos caminhoes tenha influenciado no atraso."
87,2,Os Correios entregam quando entendem. Só sabem fazer greve.
87,3,Mesmo com a greve dos caminhoneiros chegou no prazo
88,1,Comprei o produto acreditando ser um tapete mas é um banner de lona.
88,2,"Comprei um tapete com o nome ""Tapete flash G borracha Pvc TVolkswagen voyage 2010"", e ao receber o produto o mesmo não é compatível com o veiculo, verifiquei a nota e o nome esta, Tapete universal pvc"
88,3,"Entrega de produto errado, comprei tapete para carro Ettios Rech modelo 2017, veio modelo Corolla"
89,1,Infelizmente demorou um pouco para chegar.
89,2,Demorou um pouco.
89,3,Demorou um pouco mas chegou
90,1,Produto conforme anunciado.
90,2,"O produto é como imaginei, muito bom recebi tudo corretamente. | O produto é como imaginei, muito bom recebi tudo corretamente."
90,3,"Entregou dentro do prazo, e o produto correspondeu as minhas expectativas, muito lindo ficou ótimo na minha sala rs | Entregou dentro do prazo, e o produto correspondeu as minhas expectativas, muito lindo ficou ótimo na minha sala rs"
91,1,"O Produto não foi entregue disseram no rastreiamento que ele ainda não chegou na unidade de Salvador, isso foi no dia 23/03/18 e hoje 13/04/18 não tenho mais nenhuma notícia. Espero Resposta fas"
91,2,Tenho acompanhado a evolução da entrega e verifique que o produto se encontra no Rio de Janeiro desde o dia 31/03 e simplesmente não entregam na minha casa. O status está: Encaminhado para CEE JACARE
91,3,consta que está em transporte desde o dia 25/03/2018 11:16 LONDRINA / PR para RIO DE JANEIRO / RJ espero recebe uma resposta ao meu pedido
92,1,"Infelizmente não tenho como avaliar pois não sei se o atraso na entrega foi culpa do vendedor ou dos correios, acho que as lojas tem que procurar outra alternativa além dos correios."
92,2,"Paguei frete, porém não recebi meu produto, tive que retirar na agência dos correios. Acho que deveriam ter um pouco de boa vontade nas entregas e fazer o correto, entregar a mercadoria."
92,3,Como muito custo consegui retirar o produto na agência dos correios.Infelizmente os correios não fazem as entregas em alguns lugares.A loja não tem culpa
93,1,o produto ainda não chegou . Já passou do prazo
93,2,"Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data. | Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data. | Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a "
93,3,"o produto ainda não chegou, já passou do prazo de entrega"
